"Dairiten_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenName_KJKC","DairitenName_KJ","DairitenName_KJR","DairitenName_KJK","DairitenName_KN","DairitenName_KNR","Shiten_CD","Chiku_CD","Jusho_CD","Banchi_KJ","Banchi_KN","TEL_NO","FAX_NO","DairitenKanri_KBN","Dairiten_KBN","TorihikiKaishi_DT","TorihikiChushi_DT","Toroku_DT","ChikiHokatsu_CD"
"02003","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）ショウエ－","（株）ショウエ－","ショウエ－","ショウエ－","KK ｼﾖｳｴ-","ｼﾖｳｴ-","48","","","","","0000-00-0000","","","1","19000101","","19000101",""
"02004","10/01/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","09/13/2018 16:18:25","PVU_EX_1400","itg04213","09/13/2018 16:18:25","PVU_EX_1400","（株）小田島青森","（株）小田島青森","小田島青森","小田島青森","KK ｵﾀﾞｼﾞﾏ ｱｵﾓﾘｴｲｷﾞﾖｳ","ｵﾀﾞｼﾞﾏｱｵﾓﾘ","48","","","","","0000-00-0000","","","1","19000101","20180930","19000101",""
"02017","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）スズケン青森営業部","（株）スズケン青森営業部","スズケン青森営業部","Ｓ・青森","KKｽｽﾞｹﾝ ｱｵﾓﾘｴｲｷﾞﾖｳﾌﾞ","SZｱｵﾓﾘ","48","","","","","0000-00-0000","","","1","19990601","","19990518",""
"02018","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）バイタルネット青森","（株）バイタルネット青森","バイタルネット青森","ＶＮ青森","(ｶﾌﾞ)ﾊﾞｲﾀﾙﾈﾂﾄ ｱｵﾓﾘ","VNｱｵﾓﾘ","48","","","","","0000-00-0000","","","1","20010101","","19990610",""
"02026","04/01/2026 00:00:00","12/31/9999 00:00:00","0","itg37786","02/16/2026 15:56:07","PVU_EX_1400","itg37786","02/16/2026 15:56:07","PVU_EX_1400","東北アルフレッサ（株）青森営業部","東北アルフレッサ（株）青森","東北アルフレッサ青森","東北Ａ青森","ﾄｳﾎｸｱﾙﾌﾚﾂｻ ｱｵﾓﾘ","ﾄｳﾎｸAFｱｵﾓﾘ","48","","","","","0000-00-0000","","","1","20081001","","20080918",""
"02027","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","東邦薬品（株）青森営業部","東邦薬品（株）青森営業部","東邦薬品青森営業部","東邦青森","ﾄｳﾎｳ ｱｵﾓﾘ ｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳ ｱｵﾓﾘ","48","","","","","0000-00-0000","","","1","20101001","","20100907",""
"02888","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","青森の代理店","青森の代理店","青森の代理店","青・代理店","ｱｵﾓﾘﾉ ﾀﾞｲﾘﾃﾝ","ｱｵﾓﾘ","48","","","","","0000-00-0000","","","9","19000101","","19000101",""
"02889","04/01/2016 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","青森の代理店","青森の代理店","青森の代理店","青・代理店","ｱｵﾓﾘﾉ ﾀﾞｲﾘﾃﾝ","ｱｵﾓﾘ","48","","","","","0000-00-0000","","","9","19000101","","19000101",""
"03002","10/01/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","09/13/2018 16:18:48","PVU_EX_1400","itg04213","09/13/2018 16:18:48","PVU_EX_1400","（株）小田島","（株）小田島","小田島","小田島","KK ｵﾀﾞｼﾞﾏ","ｵﾀﾞｼﾞﾏ","48","","","","","0000-00-0000","","","1","19000101","20180930","19000101",""
"03005","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）スズケン岩手","（株）スズケン岩手","スズケン岩手","ＳＺ岩手","KKｽｽﾞｹﾝ ｲﾜﾃ","SZｲﾜﾃ","48","","","","","019-641-3311","019-641-1230","","1","19000101","","19000101",""
"03010","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）佐藤薬局","（株）佐藤薬局","佐藤薬局","佐藤","ｻﾄｳ ﾔﾂｷﾖｸ","ｻﾄｳ","48","","","","","0000-00-0000","","","2","19000101","","19000101",""
"03019","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）バイタルネット岩手","（株）バイタルネット岩手","バイタルネット岩手","ＶＮ岩手","(ｶﾌﾞ)ﾊﾞｲﾀﾙﾈﾂﾄ ｲﾜﾃ","VNｲﾜﾃ","48","","","","","0000-00-0000","","","1","20010101","","20010101",""
"03025","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）アスカム岩手支店","（株）アスカム岩手支店","アスカム岩手支店","ＡＣ岩手","KKｱｽｶﾑ ｲﾜﾃｼﾃﾝ","ACｲﾜﾃ","48","","","","","0000-00-0000","","","1","20001001","","20000914",""
"03027","04/01/2026 00:00:00","12/31/9999 00:00:00","0","itg37786","02/16/2026 16:01:51","PVU_EX_1400","itg37786","02/16/2026 16:01:51","PVU_EX_1400","東北アルフレッサ（株）岩手営業部","東北アルフレッサ（株）岩手","東北アルフレッサ岩手","東北Ａ岩手","ﾄｳﾎｸｱﾙﾌﾚﾂｻ ｲﾜﾃ","ﾄｳﾎｸAFｲﾜﾃ","48","","","","","0000-00-0000","","","1","20081001","","20080918",""
"03028","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","東邦薬品（株）岩手営業部","東邦薬品（株）岩手営業部","東邦薬品岩手営業部","東邦岩手","ﾄｳﾎｳ ｲﾜﾃ ｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳ ｲﾜﾃ","48","","","","","0000-00-0000","","","1","20101001","","20100907",""
"03031","04/01/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","03/31/2018 16:18:21","PVU_EX_1400","itg04213","03/31/2018 16:18:21","PVU_EX_1400","株式会社小田島アクティ","株式会社小田島アクティ","小田島アクティ","小田島アク","ｵﾀﾞｼﾞﾏｱｸﾃｲ","ｵﾀﾞｼﾞﾏｱｸﾃｲ","48","","","","","0198-21-1036","","","1","20180401","","20180402",""
"03888","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","岩手の代理店","岩手の代理店","岩手の代理店","岩・代理店","ｲﾜﾃﾉ ﾀﾞｲﾘﾃﾝ","ｲﾜﾃ","48","","","","","0000-00-0000","","","9","19000101","","19000101",""
"03889","04/01/2016 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","岩手の代理店","岩手の代理店","岩手の代理店","岩・代理店","ｲﾜﾃﾉ ﾀﾞｲﾘﾃﾝ","ｲﾜﾃ","48","","","","","0000-00-0000","","","9","19000101","","19000101",""
"04001","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）バイタルネット宮城","（株）バイタルネット宮城","バイタルネット宮城","ＶＮ宮城","(ｶﾌﾞ)ﾊﾞｲﾀﾙﾈﾂﾄ ﾐﾔｷﾞ","VNﾐﾔｷﾞ","48","","","","","0000-00-0000","","","1","20010101","","20010101",""
"04002","10/01/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","09/13/2018 16:19:19","PVU_EX_1400","itg04213","09/13/2018 16:19:19","PVU_EX_1400","（株）小田島宮城","（株）小田島宮城","小田島宮城","小田島宮城","KK ｵﾀﾞｼﾞﾏ ﾐﾔｷﾞｴｲｷﾞﾖ","ｵﾀﾞｼﾏｾﾝﾀﾞｲ","48","","","","","0000-00-0000","","","1","19000101","20180930","19000101",""
"04003","05/21/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","05/21/2018 14:20:04","PVU_EX_1400","itg04213","05/21/2018 14:20:04","PVU_EX_1400","バイタルＪＤ","バイタルＪＤ","バイタルＪＤ","バイタルＪ","ﾊﾞｲﾀﾙJD","ﾊﾞｲﾀﾙJD","48","","","","","022-266-4511","022-266-3942","","1","20180521","","20180521",""
"04004","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）アスカム宮城支店","（株）アスカム宮城支店","アスカム宮城支店","ＡＣ宮城","KK ｱｽｶﾑ ﾐﾔｷﾞｼﾃﾝ","ACﾐﾔｷﾞ","48","","","","","0000-00-0000","","","1","19000101","","19000101",""
"04005","10/01/2020 00:00:00","12/31/9999 00:00:00","0","itg40916","02/08/2019 10:03:59","PVU_EX_1400","itg40916","02/08/2019 10:03:59","PVU_EX_1400","イワキ（株）仙台支店","イワキ（株）仙台支店","イワキ　　　仙台支店","イワキ仙台","ｲﾜｷ KK ｾﾝﾀﾞｲｼﾃﾝ","ｲﾜｷ ｾﾝﾀﾞｲ","48","","","","","03-38817-3967","","","1","19000101","20111130","19000101",""
"04006","01/15/2021 00:00:00","12/31/9999 00:00:00","0","itg36186","01/15/2021 13:54:29","PVU_EX_1400","itg36186","01/15/2021 13:54:29","PVU_EX_1400","（株）井田両国堂　仙台店","（株）井田両国堂　仙台店","井田両国堂　仙台店","井田　仙台","ｲﾀﾞﾘﾖｳｺﾞｸﾄﾞｳ ｾﾝﾀﾞｲ","ｲﾀﾞ ｾﾝﾀﾞｲ","48","","","","","022-388-8072","","","3","20210115","","20210115",""
"04014","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）マルタケ仙台","（株）マルタケ仙台","マルタケ仙台支店","マルタケ仙","KK ﾏﾙﾀｹｾﾝﾀﾞｲ","ﾏﾙﾀｹｾﾝﾀﾞｲ","48","","","","","022-284-8611","","","1","19000101","","19000101",""
"04019","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","純正化学メディカル事業所","純正化学メディカル事業所","純正化学メディカル","純正化学","ｼﾞﾕﾝｾｲｶｶﾞｸﾒﾃﾞｲｶﾙ","ｼﾞﾕﾝｾｲｶｶﾞｸ","48","","","","","022-283-8245","","","2","19930401","","19930225",""
"04020","10/01/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","09/30/2020 14:30:24","PVU_EX_1400","itg04213","09/30/2020 14:30:24","PVU_EX_1400","小泉薬品（株）","小泉薬品（株）","小泉薬品","小泉","ｺｲｽﾞﾐ ﾔｸﾋﾝ","ｺｲｽﾞﾐ","48","","","","","022-237-0371","","","2","19000101","20121121","19000101",""
"04030","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）Ｐａｌｔａｃ東北支社","（株）Ｐａｌｔａｃ東北支社","Ｐａｌｔａｃ東北支社","ＰＴ東北","ﾊﾟﾙﾀﾂｸKSﾄｳﾎｸ","PTﾄｳﾎｸ","48","","","","","03-3817-3967","","","1","19990201","","19990121",""
"04040","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl04187","03/29/2018 18:50:00","803001","ecl04187","03/29/2018 18:50:00","803001","（株）アスカム","（株）アスカム","アスカム","アスカム","KKｱｽｶﾑ","ｱｽｶﾑ","48","","","","","0000-00-0000","","","1","20001001","","20000925",""
"04041","04/05/2022 00:00:00","12/31/9999 00:00:00","0","itg19647","04/05/2022 15:56:50","PVU_EX_1400","itg19647","04/05/2022 15:56:50","PVU_EX_1400","（株）バイタルネット","（株）バイタルネット","（株）バイタルネット","バイタルＮ","ﾊﾞｲﾀﾙﾈﾂﾄKK","ﾊﾞｲﾀﾙﾈﾂﾄKK","48","","","","","0000-00-0000","","","1","20010101","","20001214",""
"04042","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg46273","09/12/2025 11:50:06","PVU_EX_1400","itg46273","09/12/2025 11:50:06","PVU_EX_1400","（株）バイタルネット本社","（株）バイタルネット本社","バイタルネット本社","ＶＮ本社","ﾊﾞｲﾀﾙﾈﾂﾄﾎﾝｼﾔ","VNﾎﾝｼﾔ","48","","","","","022-384-4554","022-384-1123","","1","20010101","","20001218",""
"04044","03/12/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","03/12/2019 15:20:15","PVU_EX_1400","itg04213","03/12/2019 15:20:15","PVU_EX_1400","（株）リードヘルスケア東北","（株）リードヘルスケア東北","リードＨＣ東北","ＲＨＣ東北","ﾘ-ﾄﾞﾍﾙｽｹｱﾄｳﾎｸ","ﾘ-ﾄﾞﾍﾙｽｹｱ","48","","","","","022-381-4020","022-266-7386","","1","20050615","","20050615",""
"04045","10/01/2020 00:00:00","12/31/9999 00:00:00","0","itg35320","04/15/2020 09:26:10","PVU_EX_1400","itg35320","04/15/2020 09:26:10","PVU_EX_1400","（株）Ｐａｌｔａｃ東北","（株）Ｐａｌｔａｃ東北","Ｐａｌｔａｃ東北","ＰＴ東北","ﾊﾟﾙﾀﾂｸﾄｳﾎｸｼｼﾔ","ﾊﾟﾙﾄｳﾎｸｼｼﾔ","48","","","","","03-3817-3967","","","1","20060920","20111129","20060920",""
"04046","04/01/2026 00:00:00","12/31/9999 00:00:00","0","itg37786","02/16/2026 16:16:11","PVU_EX_1400","itg37786","02/16/2026 16:16:11","PVU_EX_1400","東北アルフレッサ（株）宮城営業部","東北アルフレッサ（株）宮城","東北アルフレッサ宮城","東北Ａ宮城","ﾄｳﾎｸｱﾙﾌﾚﾂｻ ﾐﾔｷﾞ","ﾄｳﾎｸAFﾐﾔｷﾞ","48","","","","","0000-00-0000","","","1","20081001","","20080918",""
"04048","04/15/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","04/15/2019 13:24:53","PVU_EX_1400","itg04213","04/15/2019 13:24:53","PVU_EX_1400","（株）メディセオ南東北統括営業部","メディセオ南東北統括営業部","メディセオ南東北統括","ＭＣ南東北","ﾒﾃﾞｲｾｵ ﾐﾅﾐﾄｳﾎｸﾄｳｶﾂ","MCﾐﾅﾐﾄｳｶﾂ","48","","","","","0000-00-0000","","","1","20091001","20190415","20090917",""
"04050","05/25/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","05/25/2018 11:07:02","PVU_EX_1400","itg04213","05/25/2018 11:15:44","PVU_EX_1400","（株）リードヘルスケア東日本営業部","株）リードヘルスケア東日本","リードＨＣ東日本営業","ＲＨＣ東日","KK ﾘ-ﾄﾞﾍﾙｽｹｱﾋｶﾞｼﾆﾎﾝ","ﾘ-ﾄﾞﾋｶﾞｼﾆﾎ","51","","","","","03-5614-5130","022-384-1123","","1","20091224","","20091224",""
"04051","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","東邦薬品（株）宮城営業部","東邦薬品（株）宮城営業部","東邦薬品宮城営業部","東邦宮城","ﾄｳﾎｳ ﾐﾔｷﾞ ｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳ ﾐﾔｷﾞ","48","","","","","0000-00-0000","","","1","20101001","","20100907",""
"04504","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）スズケン仙台営業部","（株）スズケン仙台営業部","スズケン仙台営業部","Ｓ・仙台","KKｽｽﾞｹﾝｾﾝﾀﾞｲｴｲｷﾞﾖｳﾌﾞ","SZｾﾝﾀﾞｲ","48","","","","","022-281-1811","022-281-5963","","1","19000101","","19000101",""
"04888","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","宮城の代理店","宮城の代理店","宮城の代理店","宮・代理店","ﾐﾔｷﾞﾉ ﾀﾞｲﾘﾃﾝ","ﾐﾔｷﾞ","48","","","","","0000-00-0000","","","9","19000101","","19000101",""
"04889","04/01/2016 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","宮城の代理店","宮城の代理店","宮城の代理店","宮・代理店","ﾐﾔｷﾞﾉ ﾀﾞｲﾘﾃﾝ","ﾐﾔｷﾞ","48","","","","","0000-00-0000","","","9","19000101","","19000101",""
"04890","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl05317","03/29/2018 18:50:00","803001","ecl05317","03/29/2018 18:50:00","803001","アルフレッサヘルスケア（株）北海道東北支社","アルフレッサＨＣ北海道東北","アルフレッサＨＣ北東","アルフ東北","ｱﾙﾌﾚﾂｻﾍﾙｽｹﾎﾂｶｲﾄｳﾎｸ","ｱﾙﾌﾎﾂｶｲﾄﾞｳ","48","","","","","022-772-6383","022-772-6386","","1","20111001","","20111001",""
"05003","10/01/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","09/13/2018 16:19:50","PVU_EX_1400","itg04213","09/13/2018 16:19:50","PVU_EX_1400","（株）小田島秋田","（株）小田島秋田","小田島秋田","小田島秋田","KK ｵﾀﾞｼﾞﾏ ｱｷﾀｴｲｷﾞﾖｳﾌ","ﾞﾀﾞｼﾞﾏｱｷﾀ","48","","","","","0000-00-0000","","","1","20110401","20180930","20110401",""
"05007","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）バイタルネット秋田","（株）バイタルネット秋田","バイタルネット秋田","ＶＮ秋田","(ｶﾌﾞ)ﾊﾞｲﾀﾙﾈﾂﾄ ｱｷﾀ","VNｱｷﾀ","48","","","","","0000-00-0000","","","1","20010101","","19990610",""
"05013","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）スズケン秋田営業部","（株）スズケン秋田営業部","スズケン秋田営業部","Ｓ・秋田","KKｽｽﾞｹﾝｱｷﾀｴｲｷﾞﾖｳﾌﾞ","SZｱｷﾀ","48","","","","","018-867-8815","018-863-3212","","1","20040713","","20040712",""
"05016","04/01/2026 00:00:00","12/31/9999 00:00:00","0","itg37786","02/16/2026 16:11:55","PVU_EX_1400","itg37786","02/16/2026 16:11:55","PVU_EX_1400","東北アルフレッサ（株）秋田営業部","東北アルフレッサ（株）秋田","東北アルフレッサ秋田","東北Ａ秋田","ﾄｳﾎｸｱﾙﾌﾚﾂｻ ｱｷﾀ","ﾄｳﾎｸAFｱｷﾀ","48","","","","","0000-00-0000","","","1","20081001","","20080918",""
"05017","04/15/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","04/15/2019 13:25:58","PVU_EX_1400","itg04213","04/15/2019 13:25:58","PVU_EX_1400","（株）メディセオ北東北統括営業部","メディセオ北東北統括営業部","メディセオ北東北統括","ＭＣ北東北","ﾒﾃﾞｲｾｵ ｷﾀﾄｳﾎｸﾄｳｶﾂ","MCｷﾀﾄｳｶﾂ","48","","","","","0000-00-0000","","","1","20091001","20190415","20090917",""
"05018","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","東邦薬品（株）秋田営業部","東邦薬品（株）秋田営業部","東邦薬品秋田営業部","東邦秋田","ﾄｳﾎｳ ｱｷﾀ ｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳ ｱｷﾀ","48","","","","","0000-00-0000","","","1","20101001","","20100907",""
"05888","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","秋田の代理店","秋田の代理店","秋田の代理店","秋・代理店","ｱｷﾀﾉ ﾀﾞｲﾘﾃﾝ","ｱｷﾀ","48","","","","","0000-00-0000","","","9","19000101","","19000101",""
"05889","04/01/2016 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","秋田の代理店","秋田の代理店","秋田の代理店","秋・代理店","ｱｷﾀﾉ ﾀﾞｲﾘﾃﾝ","ｱｷﾀ","48","","","","","0000-00-0000","","","9","19000101","","19000101",""
"06002","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）アスカム山形支店","（株）アスカム山形支店","アスカム山形支店","ＡＣ山形","KKｱｽｶﾑ ﾔﾏｶﾞﾀｼﾃﾝ","ACﾔﾏｶﾞﾀ","48","","","","","0000-00-0000","","","1","19000101","","19000101",""
