"DairitenTK_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenTK_Name_KJKC","DairitenTK_Name_KJ","DairitenTK_Name_KJR","DairitenTK_Name_KJK","DairitenTK_Name_KN","DairitenTK_Name_KNR","Yubinbango","Jusho_CD","Jusho_KJ","TEL_NO","FAX_NO","DairitenTK_KBN","DairitenTK_Seisaku_KBN","Nijiten_KBN","Keikakutani_FLG","PrintI_CTL","PrintYK_CTL","TorihikiKaishi_DT","TorihikiChushi_DT","Toroku_DT","agency_cd"
"13164","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:23:38","PVU_EX_1400","itg43581","04/15/2024 13:23:38","PVU_EX_1400","（株）スズケン東京病院営業部","スズケン東京病院営業部","スズケン東京病院","Ｓ東京病院","ｽｽﾞｹﾝ ﾄｳｷﾖｳﾋﾞﾖｳｲﾝ","ｽｽﾞｹﾝﾄｳﾋﾞﾖ","101-0032","13101","東京都千代田区岩本町３丁目１１－６","0000-00-0000","","1","1","","1","203","","20101101","","20101012","23049"
"27074","04/15/2024 00:00:00","03/31/2026 00:00:00","0","itg41755","04/15/2024 13:23:46","PVU_EX_1400","itg41755","04/15/2024 13:23:46","PVU_EX_1400","（株）メディセオ大阪・紀和統括営業部","メディセオ大阪・紀和統括","メディセオ大阪・紀和","ＭＣ大・紀","ﾒﾃﾞｲｾｵ ｵｵｻｶ･ｷﾜ ﾄｳｶﾂ","MCｵｵｻｶ･ｷﾜ","531-0071","27127","大阪府大阪市北区中津６丁目","0000-00-0000","","1","3","","1","364","006","20091001","","20100928","28026"
"13165","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:24:10","PVU_EX_1400","itg43581","04/15/2024 13:24:10","PVU_EX_1400","（株）スズケン東京多摩営業部","スズケン東京多摩営業部","スズケン東京多摩","Ｓ東京多摩","ｽｽﾞｹﾝ ﾄｳｷﾖｳﾀﾏ","ｽｽﾞｹﾝﾄｳﾀﾏ","183-0035","13206","東京都府中市四谷６丁目１３－１０","0000-00-0000","","1","1","","1","203","","20101101","","20101012","23049"
"24890","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:24:28","PVU_EX_1400","itg41755","04/15/2024 13:24:28","PVU_EX_1400","東邦薬品（株）三重営業部","東邦薬品（株）三重営業部","東邦薬品三重営業部","東邦三重","ﾄｳﾎｳ  ﾐｴ","ﾄｳﾎｳ ﾐｴ","510-0064","24202","三重県四日市市新正１丁目１２－１２","0000-00-0000","","1","3","","1","105","023","20111001","","20110905","13013"
"24002","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:25:49","PVU_EX_1400","itg41755","04/15/2024 13:25:49","PVU_EX_1400","（株）スズケン三重営業部","（株）スズケン三重営業部","スズケン三重営業部","Ｓ・三重","KK ｽｽﾞｹﾝ ﾐｴｴｲｷﾞﾖｳﾌﾞ","ｽｽﾞｹﾝ ﾐｴ","514-0821","24201","三重県津市垂水７５０－２２","0000-00-0000","","1","3","","1","301","030","19000101","","19000101","23049"
"20023","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:29:22","PVU_EX_1400","itg41755","04/15/2024 13:29:22","PVU_EX_1400","東邦薬品（株）長野営業部","東邦薬品（株）長野営業部","東邦薬品長野営業部","東邦長野","ﾄｳﾎｳﾔｸﾋﾝ ﾅｶﾞﾉｴｲｷﾞﾖｳ","ﾄｳﾎｳﾅｶﾞﾉ","399-0702","20215","長野県塩尻市広丘野村１９８６","0263-53-3388","0263-53-3366","1","3","","1","324","","20131001","","20131021","13013"
"20022","04/15/2024 00:00:00","03/31/2026 00:00:00","0","itg41755","04/15/2024 13:32:10","PVU_EX_1400","itg41755","04/15/2024 13:32:10","PVU_EX_1400","（株）メディセオ甲信越統括営業部","メディセオ甲信越統括","メディセオ甲信越","ＭＣ甲信越","ﾒﾃﾞｲｾｵ ｺｳｼﾝｴﾂ ﾄｳｶﾂ","MCｺｳｼﾝｴﾂ","399-0033","20202","長野県松本市笹賀　大字笹賀７６００－５５","0000-00-0000","","1","3","","1","327","007","20091001","","20090917","28026"
"20010","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:32:38","PVU_EX_1400","itg41755","04/15/2024 13:32:38","PVU_EX_1400","（株）スズケン長野営業部","（株）スズケン長野営業部","スズケン長野営業部","Ｓ・長野","KK ｽｽﾞｹﾝ ﾅｶﾞﾉ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝﾅｶﾞﾉ","399-0716","20215","長野県塩尻市桟敷　大字桟敷２１２","0000-00-0000","","1","3","","1","322","041","19000101","","19000101","23049"
"20005","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:33:13","PVU_EX_1400","itg41755","04/15/2024 13:33:13","PVU_EX_1400","鍋林（株）","鍋林（株）","鍋林","鍋林","ﾅﾍﾞﾘﾝ KK","ﾅﾍﾞﾘﾝ","390-0833","20202","長野県松本市双葉８－１０","0000-00-0000","","1","3","","1","324","","19000101","","19000101","20005"
"19003","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:33:25","PVU_EX_1400","itg43581","04/15/2024 13:33:25","PVU_EX_1400","（株）スズケン甲府営業部","（株）スズケン甲府営業部","スズケン甲府営業部","Ｓ・甲府","KK ｽｽﾞｹﾝ ｺｳﾌ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝ ｺｳﾌ","409-3845","19214","山梨県中央市山之神","0000-00-0000","","1","3","","1","326","","19000101","","19000101","23049"
"20004","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:33:44","PVU_EX_1400","itg41755","04/15/2024 13:33:44","PVU_EX_1400","アルフレッサ（株）長野山梨","アルフレッサ（株）長野山梨","アルフレッサ長野山梨","ＡＦ長野山","ｱﾙﾌﾚﾂｻ ﾅｶﾞﾉ ﾔﾏﾅｼ","AFﾅｶﾞﾉﾔﾏﾅｼ","381-2217","20201","長野県長野市稲里町中央４丁目４－１２","026-283-6601","","1","1","","5","321","037","19000101","","19000101","13149"
"19011","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:34:16","PVU_EX_1400","itg43581","04/15/2024 13:34:16","PVU_EX_1400","東邦薬品（株）山梨営業部","東邦薬品（株）山梨営業部","東邦薬品山梨営業部","東邦山梨","ﾄｳﾎｳﾔｸﾋﾝ ﾔﾏﾅｼ","ﾄｳﾎｳﾔﾏﾅｼ","400-0047","19201","山梨県甲府市徳行４丁目４－１　３－３０","055-228-7211","055-228-1857","1","3","","1","323","","20081001","","20090310","13013"
"20001","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:34:29","PVU_EX_1400","itg41755","04/15/2024 13:34:29","PVU_EX_1400","岡野薬品（株）","岡野薬品（株）","岡野薬品","岡野","ｵｶﾉ ﾔｸﾋﾝ KK","ｵｶﾉ","390-0814","20202","長野県松本市本庄１丁目５－１４","0000-00-0000","","1","3","","","325","040","19000101","","19000101","20001"
"13013","07/23/2024 00:00:00","09/30/2025 00:00:00","0","itg45886","07/23/2024 11:21:12","PVU_EX_1400","itg45886","07/23/2024 11:21:12","PVU_EX_1400","東邦薬品（株）","東邦薬品（株）","東邦薬品","東邦","ﾄｳﾎｳ ﾔｸﾋﾝ KK","ﾄｳﾎｳ","155-0032","13112","東京都世田谷区代沢４丁目４３－１１","0000-00-0000","","1","1","","1","206","024","19000101","","19000101","13013"
"07004","10/16/2024 00:00:00","03/31/2026 00:00:00","0","itg04213","10/16/2024 11:36:36","PVU_EX_1400","itg04213","10/16/2024 11:36:36","PVU_EX_1400","東北アルフレッサ（株）","東北アルフレッサ（株）","東北アルフレッサ","東北Ａ","ﾄｳﾎｸｱﾙﾌﾚﾂｻ","ﾄｳﾎｸA","963-0547","07203","福島県郡山市喜久田町卸１丁目１２５－１３","0000-00-0000","","1","3","","5","306","017","19000101","","19000101","13149"
"40016","10/16/2024 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:37:52","PVU_EX_1400","itg04213","10/16/2024 11:37:52","PVU_EX_1400","（株）アトル北九州営業部","（株）アトル北九州営業部","アトル北九州営業部","アトル北九","KK ｱﾄﾙ ｷﾀｷﾕｳｼﾕｳｴｲｷﾞ","ｱﾄﾙ ｷﾀｷﾕｳ","803-0815","40106","福岡県北九州市小倉北区原町２丁目２－５","093-571-3333","093-571-3331","1","3","","1","130","151","19000101","","19000101","28026"
"40024","10/16/2024 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:38:34","PVU_EX_1400","itg04213","10/16/2024 11:38:34","PVU_EX_1400","（株）アステムＤＸ営業部","（株）アステムＤＸ営業部","アステムＤＸ営業部","ＡＳＤＸ","KK ｱｽﾃﾑDXｴｲｷﾞﾖｳﾌﾞ","ASDX","812-0000","40132","福岡県福岡市博多区","","","1","3","","1","","","20220406","","20220406","44001"
"47010","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 11:58:56","PVU_EX_1400","itg41755","04/15/2024 11:58:56","PVU_EX_1400","（株）アトル琉球営業部","（株）アトル琉球営業部","アトル琉球営業部","アトル琉球","KK ｱﾄﾙ ﾘﾕｳｷﾕｳ","ｱﾄﾙ ﾘﾕｳｷﾕｳ","901-1304","47348","沖縄県島尻郡与那原町東浜８２－１","098-882-8811","098-882-8821","1","3","","","940","143","20081201","","20081127","28026"
"09003","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 12:07:06","PVU_EX_1400","itg43581","04/15/2024 12:07:06","PVU_EX_1400","ナカノ薬品（株）","ナカノ薬品（株）","ナカノ薬品","ナカノ薬品","ﾅｶﾉ ﾔｸﾋﾝ KK","ﾅｶﾉ","326-0327","09202","栃木県足利市羽刈町７６３－１２","0000-00-0000","","1","1","","1","102","","19000101","","19000101","23049"
"09012","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 12:07:42","PVU_EX_1400","itg43581","04/15/2024 12:07:42","PVU_EX_1400","（株）バイタルネット栃木","（株）バイタルネット栃木","バイタルネット栃木","ＶＮ栃木","(ｶﾌﾞ)ﾊﾞｲﾀﾙﾈﾂﾄ ﾄﾁｷﾞ","ﾊﾞｲﾀﾙﾈﾂﾄﾄﾁ","321-0923","09201","栃木県宇都宮市下栗町６９９－４７","028-689-0161","","1","3","","5","104","","19000101","","19000101","04041"
"45001","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:10:13","PVU_EX_1400","itg41755","04/15/2024 13:10:13","PVU_EX_1400","（株）アステム宮崎営業部","（株）アステム宮崎営業部","アステム宮崎営業部","ＡＳ宮崎","KK ｱｽﾃﾑﾐﾔｻﾞｷｴｲｷﾞﾖｳﾌﾞ","ｱｽﾃﾑﾐﾔｻﾞｷ","880-0815","45201","宮崎県宮崎市江平町１丁目２－１","0985-24-3111","0985-28-9721","1","1","","1","810","150","19000101","","19000101","44001"
"09013","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:15:36","PVU_EX_1400","itg43581","04/15/2024 13:15:36","PVU_EX_1400","東邦薬品（株）栃木営業部","東邦薬品（株）栃木営業部","東邦薬品栃木営業部","東邦栃木","ﾄｳﾎｳﾔｸﾋﾝ ﾄﾁｷﾞｴｲｷﾞﾖｳ","ﾄｳﾎｳ ﾄﾁｷﾞ","321-0911","09201","栃木県宇都宮市問屋町３１７２－３３","0000-00-0000","","1","3","","1","103","004","19000101","","19000101","13013"
"13010","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:17:41","PVU_EX_1400","itg43581","04/15/2024 13:17:41","PVU_EX_1400","酒井薬品（株）","酒井薬品（株）","酒井薬品","酒井","ｻｶｲ ﾔｸﾋﾝ KK","ｻｶｲ","181-0014","13204","東京都三鷹市野崎１丁目１１－２２","0000-00-0000","","1","1","","1","205","022","19000101","","19000101","13013"
"35003","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:18:02","PVU_EX_1400","itg41755","04/15/2024 13:18:02","PVU_EX_1400","（株）アステム山口営業部","（株）アステム山口営業部","アステム山口営業部","ＡＳ山口","ｱｽﾃﾑ ﾔﾏｸﾞﾁｴｲｷﾞﾖｳﾌﾞ","ｱｽﾃﾑﾔﾏｸﾞﾁ","754-0012","35203","山口県山口市小郡船倉町２－１","0000-00-0000","","1","3","","1","022","042","19000101","","19000101","44001"
"13013","04/15/2024 00:00:00","07/22/2024 00:00:00","0","itg43581","04/15/2024 13:18:11","PVU_EX_1400","itg43581","04/15/2024 13:18:11","PVU_EX_1400","東邦薬品（株）","東邦薬品（株）","東邦薬品","東邦","ﾄｳﾎｳ ﾔｸﾋﾝ KK","ﾄｳﾎｳ","155-0032","13112","東京都世田谷区代沢５丁目２－１　財務経理部買掛チーム","0000-00-0000","","1","1","","1","206","024","19000101","","19000101","13013"
"13017","04/15/2024 00:00:00","03/31/2026 00:00:00","0","itg43581","04/15/2024 13:18:50","PVU_EX_1400","itg43581","04/15/2024 13:18:50","PVU_EX_1400","アルフレッサ（株）東京","アルフレッサ（株）東京","アルフレッサ東京","ＡＦ東京","ｱﾙﾌﾚﾂｻﾄｳｷﾖｳ","AF ﾄｳｷﾖｳ","101-0047","13101","東京都千代田区内神田１丁目１２－１","0000-00-0000","","1","1","","5","202","","19000101","","19000101","13149"
"13078","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:19:23","PVU_EX_1400","itg43581","04/15/2024 13:19:23","PVU_EX_1400","（株）バイタルネット東京","（株）バイタルネット東京","バイタルネット東京","ＶＮ東京","ﾊﾞｲﾀﾙﾈﾂﾄ ﾄｳｷﾖｳ","ﾊﾞｲﾀﾙﾈﾂﾄﾄｳ","154-0016","13112","東京都世田谷区弦巻１丁目１－１２","03-5433-4511","","1","3","","5","233","","20010101","","19980603","04041"
"13099","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:20:31","PVU_EX_1400","itg43581","04/15/2024 13:20:31","PVU_EX_1400","（株）マルタケ東京","（株）マルタケ東京","マルタケ東京支店","マルタケ東","KK ﾏﾙﾀｹ ﾄｳｷﾖｳｼﾃﾝ","ﾏﾙﾀｹ ﾄｳｷﾖｳ","104-0033","13102","東京都中央区新川２丁目２２－１　能登ビル","03-3297-8611","03-3297-8601","1","3","","","230","028","19000101","","19000101","15022"
"13161","04/15/2024 00:00:00","03/31/2026 00:00:00","0","itg43581","04/15/2024 13:22:04","PVU_EX_1400","itg43581","04/15/2024 13:22:04","PVU_EX_1400","（株）メディセオ試薬","（株）メディセオ試薬","メディセオ試薬","ＭＣ試薬","ﾒﾃﾞｲｾｵ ｼﾔｸ","MCｼﾔｸ","101-0021","13101","東京都千代田区外神田３丁目","0000-00-0000","","1","3","","","","","20091001","","20090917","28026"
"13163","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:23:08","PVU_EX_1400","itg43581","04/15/2024 13:23:08","PVU_EX_1400","（株）スズケン東京中央営業部","スズケン東京中央営業部","スズケン東京中央","Ｓ東京中央","ｽｽﾞｹﾝ ﾄｳｷﾖｳﾁﾕｳｵｳ","ｽｽﾞｹﾝﾄｳﾁﾕｳ","101-0026","13101","東京都千代田区神田佐久間河岸５９","0000-00-0000","","1","1","","1","203","","20101101","","20101012","23049"
"24012","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:25:03","PVU_EX_1400","itg41755","04/15/2024 13:25:03","PVU_EX_1400","アルフレッサ（株）三重","アルフレッサ（株）三重","アルフレッサ三重","ＡＦ三重","ｱﾙﾌﾚﾂｻ ﾐｴ","AF ﾐｴ","514-0001","24201","三重県津市江戸橋１丁目　１３１","0000-00-0000","","1","3","","5","303","","19981001","","19980924","13149"
"23052","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:26:36","PVU_EX_1400","itg41755","04/15/2024 13:26:36","PVU_EX_1400","アルフレッサ（株）愛知","アルフレッサ（株）愛知","アルフレッサ愛知","ＡＦ愛知","ｱﾙﾌﾚﾂｻ ｱｲﾁ","AF ｱｲﾁ","462-0844","23103","愛知県名古屋市北区清水４丁目１４－１８","0000-00-0000","","1","3","","5","105","","19981001","","19980924","13149"
"23049","04/15/2024 00:00:00","09/30/2025 00:00:00","0","itg41755","04/15/2024 13:27:49","PVU_EX_1400","itg41755","04/15/2024 13:27:49","PVU_EX_1400","（株）スズケン","（株）スズケン","（株）スズケン","スズケン","KK ｽｽﾞｹﾝ","ｽｽﾞｹﾝ","461-0015","23102","愛知県名古屋市東区東片端町１　ビジネスサポート仕入課","052-950-6304","","1","3","","","001","026","19980401","","19980325","23049"
"40079","10/16/2024 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:39:14","PVU_EX_1400","itg04213","10/16/2024 11:39:14","PVU_EX_1400","（株）リードヘルスケア九州営業部","株）リードＨＣ九州営業部","リードＨＣ九州営業部","ＲＨＣ九州","KK ﾘ-ﾄﾞﾍﾙｽｹｱｷﾕｳｼﾕｳ","ﾘ-ﾄﾞｷﾕｳｼﾕｳ","819-0005","40135","福岡県福岡市西区内浜２丁目９－２３","","","1","3","","","","","20220406","","20220406","40059"
"10002","10/16/2024 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:40:47","PVU_EX_1400","itg04213","10/16/2024 11:40:47","PVU_EX_1400","東邦薬品（株）群馬営業部","東邦薬品（株）群馬営業部","東邦薬品群馬営業部","東邦群馬","ﾄｳﾎｳﾔｸﾋﾝｸﾞﾝﾏｴｲｷﾞﾖｳ","ﾄｳﾎｳｸﾞﾝﾏ","370-0801","10202","群馬県高崎市上並榎町３７８","027-362-2122","","1","3","","1","303","","19000101","","19000101","13013"
"10018","10/16/2024 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:41:55","PVU_EX_1400","itg04213","10/16/2024 11:41:55","PVU_EX_1400","アルフレッサ（株）群馬","アルフレッサ（株）群馬","アルフレッサ群馬","ＡＦ群馬","ｱﾙﾌﾚﾂｻｸﾞﾝﾏ","AF ｸﾞﾝﾏ","370-0071","10202","群馬県高崎市小八木町　群馬県高崎市小八木町３０９","027-364-7111","027-364-1168","1","3","","5","301","","20111001","","19990928","13149"
"15003","10/16/2024 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:42:53","PVU_EX_1400","itg04213","10/16/2024 11:42:53","PVU_EX_1400","（株）マルタケ関越","（株）マルタケ関越","マルタケ","マルタケ","KK ﾏﾙﾀｹ ｶﾝｴﾂ","ﾏﾙﾀｹｶﾝｴﾂ","950-2031","15107","新潟県新潟市西区流通センター４丁目６－２","025-568-6311","025-268-6306","1","3","","1","333","","19000101","","19000101","15022"
"15013","10/16/2024 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:43:42","PVU_EX_1400","itg04213","10/16/2024 11:43:42","PVU_EX_1400","東邦薬品（株）新潟営業部","東邦薬品（株）新潟営業部","東邦薬品新潟営業部","東邦新潟","ﾄｳﾎｳﾆｲｶﾞﾀｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳﾆｲｶﾞﾀ","950-0954","15103","新潟県新潟市中央区美咲町１丁目２３－２","025-285-8111","025-285-8593","1","3","","1","334","","20131001","","19900920","13013"
"15020","10/16/2024 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:44:15","PVU_EX_1400","itg04213","10/16/2024 11:44:15","PVU_EX_1400","アルフレッサ（株）新潟","アルフレッサ（株）新潟","アルフレッサ新潟","ＡＦ新潟","ｱﾙﾌﾚﾂｻ ﾆｲｶﾞﾀ","AF ﾆｲｶﾞﾀ","950-0941","15103","新潟県新潟市中央区女池５丁目６－１０","025-281-3331","025-281-3120","1","3","","1","330","","19960201","","19960125","13149"
"13014","10/28/2024 00:00:00","09/11/2025 00:00:00","0","itg45886","10/28/2024 14:52:58","PVU_EX_1400","itg45886","10/28/2024 14:52:58","PVU_EX_1400","東邦薬品（株）","東邦薬品グループ","東邦薬品Ｇ","東邦","ﾄｳﾎｳ ﾔｸﾋﾝ KK","ﾄｳﾎｳ","155-0032","13112","東京都世田谷区代沢４丁目４３－１１","0000-00-0000","","1","1","","","","","","","20241028","13013"
"13015","11/01/2024 00:00:00","12/31/9999 00:00:00","0","itg45886","10/28/2024 15:07:57","PVU_EX_1400","itg45886","10/28/2024 15:07:57","PVU_EX_1400","東邦薬品（株）","東邦薬品（株）","東邦薬品","東邦","ﾄｳﾎｳ ﾔｸﾋﾝ KK","ﾄｳﾎｳ","155-0032","13112","東京都世田谷区代沢４丁目４３－１１","0000-00-0000","","1","1","","","","","","","20241101","13013"
"42102","11/01/2024 00:00:00","12/31/9999 00:00:00","0","itg42390","10/28/2024 16:06:22","PVU_EX_1400","itg42390","10/28/2024 16:06:22","PVU_EX_1400","（株）宮崎温仙堂商店","（株）宮崎温仙堂商店","宮崎温仙堂","宮崎温仙堂","KK ﾐﾔｻﾞｷ ｵﾝｾﾝﾄﾞｳ","ｵﾝｾﾝﾄﾞｳ","854-0014","42204","長崎県諫早市東小路町２－２８","0957-22-3350","","1","3","","","","","","","20241101","42002"
